expID,strain,media,replicate,timepoint,OD600,OD600_blanked
blank2,blank,GlcNAc,2,7.586583333,0.085389999,0.000209999
blank2,blank,GlcNAc,2,7.771611111,0.0854,0.00022
blank2,blank,GlcNAc,2,7.956638889,0.08543,0.00025
blank2,blank,GlcNAc,2,8.141666667,0.085469999,0.000289999
blank2,blank,GlcNAc,2,8.326694444,0.085350002,0.000170001
blank2,blank,GlcNAc,2,8.51175,0.08528,9.99995E-05
blank2,blank,GlcNAc,2,8.696777778,0.08541,0.000229999
blank2,blank,GlcNAc,2,8.881805556,0.085380001,0.0002
blank2,blank,GlcNAc,2,9.066833333,0.0854,0.00022
blank2,blank,GlcNAc,2,9.251861111,0.085390001,0.000210001
blank2,blank,GlcNAc,2,9.436916667,0.08539,0.00021
blank2,blank,GlcNAc,2,9.621944444,0.085420001,0.000240001
blank2,blank,GlcNAc,2,9.806972222,0.085439999,0.000259999
blank2,blank,GlcNAc,2,9.992,0.08539,0.00021
blank2,blank,GlcNAc,2,10.17702778,0.085399999,0.000219999
blank2,blank,GlcNAc,2,10.36205556,0.08542,0.00024
blank2,blank,GlcNAc,2,10.54708333,0.08537,0.000189999
blank2,blank,GlcNAc,2,10.73211111,0.08538,0.0002
blank2,blank,GlcNAc,2,10.91713889,0.0854,0.00022
blank2,blank,GlcNAc,2,11.10219444,0.085429999,0.000249999
blank2,blank,GlcNAc,2,11.28722222,0.08539,0.00021
blank2,blank,GlcNAc,2,11.47225,0.08539,0.00021
blank2,blank,GlcNAc,2,11.65727778,0.08551,0.00033
blank2,blank,GlcNAc,2,11.84230556,0.085389999,0.000209998
blank2,blank,GlcNAc,2,12.02733333,0.085429999,0.000249999
blank2,blank,GlcNAc,2,12.21236111,0.085429999,0.000249999
blank2,blank,GlcNAc,2,12.39738889,0.085469999,0.000289999
blank2,blank,GlcNAc,2,12.58241667,0.085429999,0.000249999
blank2,blank,GlcNAc,2,12.76747222,0.085480001,0.000300001
blank2,blank,GlcNAc,2,12.9525,0.08541,0.00023
blank2,blank,GlcNAc,2,13.13752778,0.085399999,0.000219999
blank2,blank,GlcNAc,2,13.32255556,0.08537,0.00019
blank2,blank,GlcNAc,2,13.50758333,0.08539,0.00021
blank2,blank,GlcNAc,2,13.69261111,0.085389999,0.000209999
blank2,blank,GlcNAc,2,13.87763889,0.085429999,0.000249999
blank2,blank,GlcNAc,2,14.06277778,0.08541,0.00023
blank2,blank,GlcNAc,2,14.24780556,0.08536,0.000179999
blank2,blank,GlcNAc,2,14.43283333,0.08536,0.000179999
blank2,blank,GlcNAc,2,14.61786111,0.08543,0.00025
blank2,blank,GlcNAc,2,14.80291667,0.0854,0.00022
blank2,blank,GlcNAc,2,14.98794444,0.085439999,0.000259999
blank2,blank,GlcNAc,2,15.17297222,0.085459999,0.000279999
blank2,blank,GlcNAc,2,15.358,0.08533,0.00015
blank2,blank,GlcNAc,2,15.54302778,0.08541,0.000229999
blank2,blank,GlcNAc,2,15.72805556,0.085330001,0.00015
blank2,blank,GlcNAc,2,15.91308333,0.08538,0.0002
blank2,blank,GlcNAc,2,16.09811111,0.08538,0.0002
blank2,blank,GlcNAc,2,16.28313889,0.085439999,0.000259999
blank2,blank,GlcNAc,2,16.46819444,0.08545,0.000269999
blank2,blank,GlcNAc,2,16.65322222,0.08532,0.000139999
blank2,blank,GlcNAc,2,16.83825,0.085399999,0.000219999
